Description	ECS-A (clean blank)																																																				
EEM type	"Dilution- & Scatter-corrected, Calibrated Data (ppb QSE)"																																																				
Scan date	10/12/2010 10:19																																																				
Excitation	240-500nm by 5nm																																																				
Emission	290-600nm by 2nm																																																				
Calibration	Michael_Fluoromax4_April08 (07-Apr-2008)																																																				
Slit settings	"5nm Excitation, 5nm Emission"																																																				
Dilution	3																																																				
Row 1	Excitation(nm)																																																				
Col 1	Emission(nm)																																																				
Data	Fluorescence(ppb QSE)																																																				
																																																					
	240	245	250	255	260	265	270	275	280	285	290	295	300	305	310	315	320	325	330	335	340	345	350	355	360	365	370	375	380	385	390	395	400	405	410	415	420	425	430	435	440	445	450	455	460	465	470	475	480	485	490	495	500
290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
292	0	0	0	0	0	0	0.0145	0.381	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
294	0	0	0	0	0	0.0304	0.0717	0.7538	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
296	0	0	0	0	0.0487	0.0899	1.1884	1.1168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
298	0	0	0	0	0.112	0.1478	2.275	1.4686	0.5754	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
300	0	0	0	0	0.1735	1.2963	2.9732	1.8101	1.1349	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
302	0	0	0	0	0.237	2.452	3.3507	2.7731	1.7055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
304	0	0	0	0	0.3077	3.6126	3.7296	3.7399	2.2782	0.7071	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
306	0	0	0	0	2.0292	4.7756	4.723	4.5083	2.8515	1.4161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
308	0	0	0	0	2.8905	5.9394	5.7167	5.0761	3.7897	2.1261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
310	0	0	0	0.5402	3.2037	6.2328	6.7124	5.6449	4.7296	2.8373	0.8703	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
312	0	0.2414	0	0.7135	3.9539	6.7987	7.6635	6.5365	5.516	3.5285	1.7319	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
314	0.1206	0	0	1.4724	3.9483	7.1803	8.6047	7.4188	6.1734	4.5824	2.5846	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
316	0.0164	1.1229	2.4249	3.9463	5.1134	6.7728	9.7678	8.2641	6.801	5.6069	3.4171	0.9138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
318	3.5718	0	2.3491	3.0883	5.8104	8.328	9.9721	9.0633	7.7467	6.4701	4.2208	1.806	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
320	3.3653	2.478	3.0636	3.9423	6.4368	9.2947	10.2841	9.8409	8.6677	7.1914	5.0626	2.6767	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
322	5.5944	2.2799	2.5473	5.8242	7.693	8.9967	10.9417	11.2983	9.5196	7.8565	5.8553	3.5093	0.8775	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
324	5.3053	6.3756	5.0626	7.1445	8.1053	10.1591	10.9917	10.7217	10.3374	8.5486	6.5993	4.312	1.7251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
326	9.1922	5.3269	5.8201	7.3021	9.4151	10.5305	10.9617	12.0827	11.1161	9.2078	7.2921	5.0206	2.5417	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
328	7.9761	5.4025	6.7569	7.4084	10.2763	10.7494	11.9459	12.1923	11.8199	9.8329	7.9517	5.698	3.3262	0.9885	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
330	9.4338	8.0823	7.5323	8.7023	10.106	11.0507	12.3883	12.4931	12.314	10.4275	8.5239	6.366	4.0791	1.9398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
332	11.2227	9.7379	8.3645	9.7732	10.1325	12.2185	12.1566	13.2607	12.8694	10.8735	8.9706	6.948	4.9346	2.8231	0.6304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
334	10.7455	9.7145	8.7247	9.8792	11.7578	12.2368	12.0287	12.84	12.8803	11.6454	9.3736	7.4822	5.7299	3.6487	1.5885	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
336	12.2432	9.8936	9.9594	10.6706	11.477	12.8277	12.3416	13.7407	13.0961	12.1009	9.743	8.1469	6.4526	4.4208	2.4873	0.5172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
338	13.7944	11.6457	10.139	10.9481	11.9439	12.8523	13.3126	13.1524	13.9561	12.4843	10.0808	8.7636	7.1072	5.341	3.3295	1.0917	0.2449	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
340	15.5868	14.0153	11.3563	11.9022	13.1552	12.9118	13.6571	13.6302	13.8732	12.7338	11.1768	9.3249	7.7073	6.1941	4.1133	2.3088	1.0122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
342	17.4752	12.3789	13.2507	13.0458	12.7163	13.8163	13.9924	14.0023	13.9344	13.4205	11.91	9.8846	8.4848	6.9519	4.8652	3.463	1.6291	0.3334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
344	17.6726	15.0591	12.3709	13.1278	14.1488	14.3935	15.0828	14.489	14.4836	13.724	12.1573	10.3975	9.206	7.5925	6.0673	4.5486	2.7651	1.4036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
346	19.3781	14.936	15.8153	14.7171	14.5945	14.4389	14.3701	15.2079	15.4655	14.3857	13.0688	11.2573	9.8969	8.2055	7.2105	5.5801	3.7797	2.0153	0.459	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
348	21.7995	18.9494	16.6388	15.476	15.9662	15.3097	15.7205	15.7395	15.5544	15.0555	14.0642	12.3872	10.5647	9.2703	8.2285	6.5663	4.7477	3.2099	1.705	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
350	20.3605	20.0746	17.234	16.0305	15.7411	16.3822	16.623	15.6233	15.9981	15.5209	14.421	13.3872	11.1858	10.2709	9.1113	7.4343	5.662	4.18	2.4854	1.0069	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
352	26.2557	21.6474	19.4035	17.3586	16.6307	16.8297	16.8082	16.4489	16.355	15.9417	15.4357	14.2176	12.7799	11.2093	9.9392	8.2499	6.5236	4.8002	3.5413	1.9646	0	0.1021	0.1159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
354	27.4481	22.6693	19.8605	19.2565	18.2013	17.2951	17.3753	17.3856	17.2673	17.0913	16.0075	15.246	13.7105	12.0836	10.6524	9.0119	7.6684	6.1239	4.4039	2.7969	0.9804	0.2982	0.2256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
356	28.3165	23.8012	21.027	20.0794	18.4609	18.1403	17.9612	17.8335	17.683	16.9814	16.8526	16.1345	14.788	12.9381	11.6789	10.4115	9.0892	7.3944	5.6456	3.576	1.981	0.485	0.3302	0.0205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
358	28.9283	26.8224	22.3665	21.2271	20.6261	19.1533	18.6763	18.5787	18.1879	18.2512	17.6114	16.9229	15.9452	14.5882	13.0081	11.7738	10.4464	8.626	6.6005	4.6746	2.9552	0.6645	0.2633	0.0401	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
360	30.7921	28.4396	23.9705	22.6696	21.0338	19.8691	19.1766	19.7931	19.1686	18.926	18.5077	17.9841	17.4486	15.7348	14.2697	13.0464	11.7372	9.798	7.9113	5.9744	3.6604	1.9076	0.199	0.0588	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
362	31.5475	29.4205	26.4017	24.0761	22.2038	21.5065	20.6934	19.9059	20.0718	19.5708	19.4067	19.3478	18.4316	17.4518	15.5731	14.3421	12.8963	11.1221	9.2233	7.2189	4.6662	2.6968	0.1383	0.213	0.1788	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
364	37.0203	30.4565	28.5741	25.9181	22.9669	22.5971	21.5467	20.9154	21.3451	21.1727	21.174	20.5034	19.5359	18.7184	17.3282	15.5922	14.0144	12.6667	10.4915	8.0281	5.8308	3.6626	1.583	0.4959	0.352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
366	39.625	34.7803	30.6485	27.6453	25.1054	23.8508	22.68	22.1228	22.1555	22.2844	21.9695	21.5453	20.9845	20.1871	18.8812	16.8104	15.3654	14.1701	11.7258	9.2213	6.6363	4.5116	2.6357	0.7704	0.52	0.0692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
368	41.6249	36.463	32.817	28.7418	27.2538	25.2023	23.7741	23.2439	23.3752	23.1973	23.0799	23.0233	22.3341	21.6222	19.9065	18.0001	16.813	15.3463	12.907	10.384	7.931	5.3573	3.4162	1.0372	0.5014	0.1364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
370	40.4576	38.7121	35.1357	30.7449	28.6736	26.4659	25.2003	24.4303	24.418	23.8652	24.596	24.182	23.681	22.8456	21.7384	20.2916	18.2128	16.4828	14.0055	11.5094	9.002	6.4758	4.2864	2.0632	0.4831	0.2016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
