Description	E1-25.5 (clean blank)																																																				
EEM type	"Dilution- & Scatter-corrected, Calibrated Data (ppb QSE)"																																																				
Scan date	1/19/2012 13:27																																																				
Excitation	240-500nm by 5nm																																																				
Emission	290-600nm by 2nm																																																				
Calibration	Michael_Fluoromax4_April08 (07-Apr-2008)																																																				
Slit settings	"5nm Excitation, 5nm Emission"																																																				
Dilution	4																																																				
Row 1	Excitation(nm)																																																				
Col 1	Emission(nm)																																																				
Data	Fluorescence(ppb QSE)																																																				
																																																					
	240	245	250	255	260	265	270	275	280	285	290	295	300	305	310	315	320	325	330	335	340	345	350	355	360	365	370	375	380	385	390	395	400	405	410	415	420	425	430	435	440	445	450	455	460	465	470	475	480	485	490	495	500
290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
292	0	0	0	0	0	0	0	0.3733	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
294	0	0	0	0	0	0	0	0.7384	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
296	0	0	0	0	0	0	1.1225	1.094	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
298	0	0	0	0	0	0	2.2146	1.4386	0.6382	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
300	0	0	0	0	0	1.1556	2.9119	1.7731	1.2586	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
302	0	0	0	0	0	2.3157	3.2815	2.934	1.8913	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
304	0.6131	0	0	0	0	3.4804	3.6524	4.0995	2.5262	0.822	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
306	0	0	0	0	1.2189	4.6474	4.8493	4.9983	3.1619	1.6463	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
308	1.9158	0	0	0	1.1828	5.815	6.0468	5.6276	4.3132	2.4716	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
310	0	0	0	0	2.6447	6.1117	7.2467	6.2579	5.4667	3.2982	1.0233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
312	0.5143	0	0	0	3.1625	7.5654	8.3979	7.3555	6.4111	4.1015	2.0362	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
314	2.0718	0	0	0	3.4028	7.9035	9.537	8.4416	7.1749	5.3591	3.0387	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
316	0	0.7112	0.2942	1.8153	4.6851	7.7926	10.5055	9.4845	7.904	6.5817	4.0173	1.0223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
318	4.1129	0	1.3554	2.2224	5.4626	9.0903	10.976	10.473	9.034	7.6053	4.962	2.0203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
320	5.5621	1.208	2.641	3.356	6.7051	10.3821	11.6267	11.4349	10.1345	8.4528	5.805	2.9941	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
322	8.4455	1.8267	1.3586	6.0677	8.1744	10.1503	13.059	13.1214	11.1534	9.2342	6.5951	3.9252	1.0343	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
324	7.4597	4.7102	4.9195	6.1922	8.2812	11.2098	12.7015	12.8209	12.1317	9.9118	7.3797	4.8228	2.0334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
326	11.4918	4.2221	5.4701	7.1951	9.9977	12.2394	13.0878	14.8959	13.0632	10.5553	8.1541	5.764	2.9958	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
328	12.6232	6.1966	6.2244	6.972	10.0051	11.6128	13.4298	15.0609	14.327	11.1636	8.8913	6.6649	3.9203	1.0022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
330	12.292	8.0407	7.2401	8.5904	10.4852	12.4079	13.5708	15.1848	14.8619	11.7411	9.6681	7.5018	4.8075	1.9664	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
332	16.0087	10.4646	8.2558	8.9087	10.4349	13.5533	13.4853	15.1491	15.6259	12.1558	10.2964	8.1874	5.5204	2.8616	0.3179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
334	15.3967	8.8681	9.047	9.0958	11.3119	13.721	13.9084	15.2962	14.6523	14.0037	10.8678	8.8166	6.1803	3.6981	1.2019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
336	15.7769	11.6159	10.8055	11.0187	11.6494	14.4777	15.2711	15.4459	15.4719	14.4509	11.3938	9.3289	6.8378	4.4803	2.0311	0.0669	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
338	16.1618	10.8909	10.7404	9.5733	11.7288	13.3424	14.461	14.4585	15.7681	14.5681	11.8771	9.8013	7.4914	5.1648	2.8082	0.4557	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
340	19.2914	12.8681	11.0681	11.5723	11.9996	13.6445	14.7611	15.0402	15.8243	14.7548	12.4845	10.2249	8.0898	5.7968	3.5319	1.4864	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
342	22.7363	12.4317	11.8008	12.4502	12.4168	13.9933	15.9087	15.08	15.9073	14.0242	12.8802	10.6578	8.6369	6.4178	4.225	2.462	0.4706	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
344	20.1534	15.8389	11.1769	13.0767	13.3927	14.5805	15.1347	16.0589	15.2894	15.2695	13.4155	11.0497	9.14	7.0006	5.1103	3.38	1.5977	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
346	20.1745	15.0012	14.6136	13.9055	14.1262	14.0155	14.9341	15.3974	16.0366	15.2866	13.7411	11.292	9.6243	7.5584	5.9524	4.2515	2.4254	0.5374	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
348	24.7767	16.6193	14.3783	14.185	13.6338	14.6933	16.2435	15.8002	15.2	15.0997	14.6462	12.3458	10.0955	8.3215	6.749	5.0839	3.214	1.5177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
350	27.6515	18.3909	16.8116	13.5788	14.8776	15.2387	15.2739	15.4652	15.8429	15.1963	14.5398	12.9145	10.5303	9.036	7.4875	5.7814	3.9594	2.0925	0.7826	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
352	25.5829	19.8227	16.8042	14.9153	15.3006	15.2654	14.9056	16.5546	16.2122	16.1199	15.6211	13.8353	11.4683	9.704	8.18	6.4369	4.6625	2.8889	1.4471	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
354	26.4027	21.1212	18.3131	15.9615	15.8462	15.8776	16.232	16.6806	16.6663	16.3445	15.7682	13.8899	12.5598	10.3236	8.7428	7.0493	5.5191	3.9642	2.2801	0.7802	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
356	28.1957	19.6709	18.7088	17.036	16.6587	16.9584	17.065	16.6754	17.0268	16.6809	15.5407	14.7596	13.2467	10.9325	9.4856	8.0286	6.5419	4.9937	3.2673	1.4665	0.3045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
358	27.6198	24.0334	18.8013	17.2537	16.9083	17.3743	17.246	17.2451	17.2043	16.8962	16.1353	15.5849	14.1823	12.1385	10.4043	8.9828	7.5469	5.989	4.3576	2.302	1.1089	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
360	31.2194	24.0002	20.9902	18.5866	18.5713	17.1455	17.3817	17.7808	18.0499	18.1767	16.813	15.9489	15.0399	13.2791	11.2744	9.9005	8.5024	6.9367	5.293	3.3899	1.6641	0.203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
362	31.021	26.4263	22.0733	20.2749	18.5457	19.1907	18.3476	18.066	17.7155	17.9254	17.589	16.8067	15.477	14.3656	12.1814	10.8511	9.4326	7.9329	6.2266	4.065	2.3441	0.8351	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
364	36.4165	26.4727	24.2892	20.0262	20.0657	19.2271	19.4294	18.6286	18.8782	18.8452	18.2002	17.3733	16.828	15.1533	13.4436	11.7675	10.33	8.9755	7.1287	5.1289	3.1338	1.5902	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
366	37.343	28.0028	26.332	22.4252	19.897	19.9196	20.1391	19.9425	18.958	19.3142	19.3134	18.5344	17.8801	16.4183	14.3737	12.6602	11.283	9.9898	8.006	6.0388	3.8298	2.3014	0.9387	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
368	35.6901	30.6463	27.7101	25.3114	22.197	20.0417	21.4177	20.4402	20.4246	20.1571	19.7582	19.5247	18.9163	17.3765	15.8125	13.5318	12.2518	10.821	8.8641	6.9246	4.9214	2.9404	1.4811	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
370	37.4301	32.4558	28.4953	25.862	23.3853	22.1378	21.0776	20.9245	20.8377	20.7415	20.948	20.007	19.5439	18.7785	17.5117	14.7638	13.1876	11.6237	9.6999	7.782	5.8593	3.781	2.0944	0.3957	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
372	45.0036	33.1611	31.8274	26.2118	25.5615	23.5256	21.6677	21.8153	21.8668	21.9168	21.4085	21.5375	20.9526	19.9886	17.7866	16.235	14.1631	12.4679	10.5612	8.9358	6.9495	4.7496	2.771	1.165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
374	45.8085	37.5559	32.3775	28.4739	27.176	25.7076	23.8064	23.4249	22.9512	22.8002	22.9062	22.4212	22.5373	21.5125	19.5872	17.9938	15.1169	13.5775	11.9632	10.3435	8.0173	5.5627	3.3276	1.7564	0.0275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
